mass,damping,speed,scale,group,value,end_time,stop,theta_peak,r_peak,chi_peak,near_zero,final_theta,final_r,final_chi,force_peak,torque_peak
2.3,6.5,2.375,2,theta,0.001,30,0,0.00369606377739889,2.9230634985726e-05,0.0294767926759184,1,0.000999999999093202,1.49971589470274e-05,-0.0250649589121248,0.000471552151800351,4.73344755100062e-09
2.3,6.5,2.375,2,theta,0.01,30,0,0.0369606887620353,0.00029230695035923,0.294768689984257,0,0.00999999909319029,0.000149971577514341,-0.250649552633624,0.00471553748539592,4.73347702986041e-07
2.3,6.5,2.375,2,theta,0.1,30,0,0.369657877435333,0.0029236700344163,2.9484508859478,0,0.0999990922148549,0.0014997038045216,-2.5064590146215,0.0471713640855783,4.7367446025438e-05
2.3,6.5,2.375,2,theta,1,30,0,3.75177774349473,0.0298656192553915,30.3485558078179,0,0.998980701868515,0.0149833907106696,-25.0253254113587,0.490644235511407,0.0050895510908823
2.3,6.5,2.375,2,theta,5,1.37189917727786,2,51.9085792696285,0.500000000000022,114.953110983161,0,51.9085792696285,-0.500000000000022,-114.953110983161,14.3231112595542,0.22032424124549
2.3,6.5,2.375,4,theta,1e-05,30,0,4.42464585410959e-05,3.79479407740272e-07,0.000332631064244599,1,9.99999999999815e-06,1.49971589591024e-07,-0.000332631064244574,1.42995402821544e-05,6.29268445978061e-13
2.3,6.5,2.375,4,theta,0.0001,30,0,0.000442464585497267,3.79479407813043e-06,0.00332631064241723,1,9.99999999988787e-05,1.49971589589519e-06,-0.00332631064241047,0.000142995402821544,6.28770922676406e-11
2.3,6.5,2.375,4,theta,0.001,30,0,0.00442464594127912,3.7947941508999e-05,0.0332631064054671,1,0.000999999998884749,1.49971589439054e-05,-0.0332631063888223,0.00142995402821544,6.28786931163146e-09
2.3,6.5,2.375,4,theta,0.01,30,0,0.0442465457192098,0.000379480142784741,0.332631061212107,0,0.00999999888487373,0.000149971574390159,-0.332631028603801,0.0142995402821544,6.28792807561526e-07
2.3,6.5,2.375,4,theta,0.1,30,0,0.442551760344223,0.00379552912123194,3.32632145897188,0,0.0999988822716762,0.00149970065592821,-3.32627491499129,0.142995402821544,6.29374529391176e-05
2.3,6.5,2.375,4,theta,1,30,0,4.52126032866408,0.0387232893678605,33.3044858977286,0,0.998580071305898,0.0149773805339794,-33.2173208586463,1.42995402821544,0.00692297685829123
2.3,6.5,2.375,4,theta,5,1.28706589325862,2,66.8825973665845,0.500000000000014,168.251398964052,0,66.8825973665845,-0.500000000000014,-168.251398964052,7.14977014107722,1.28417009349
2.3,6.5,2.375,0.5,r,0.001,5.38147782234411,2,11.2544786329261,0.500000000000133,46.1414072086501,0,-11.2544786329261,0.500000000000133,-43.8455004065811,32.1273778529603,0.0295055680179465
2.3,6.5,2.375,0.5,r,0.005,2.62977576463075,2,20.0861632055288,0.5,51.8951844421794,0,20.0861632055288,-0.5,42.7058607985708,25.670282366455,0.00341023673004682
2.3,6.5,2.375,0.5,r,0.01,2.07847039580991,2,16.9219267191572,0.500000000000045,91.4642794812684,0,2.77294727613579,-0.500000000000045,91.3873772610765,39.034830924253,0.10802839163669
